ID,name,amount,book_ID,createdAt,createdBy,modifiedAt,modifiedBy
12398519-fd18-4bcb-8b26-43d14cf944f6,name-1239851,75,16068822-e2fc-4349-a57c-39f9243b9079,2023-07-06T22:00:00.000Z,createdBy.qkob@example.org,2004-01-01T22:00:00.000Z,modifiedBy.qkob@example.net
12398525-98e1-40d0-a119-ed96b4474af7,name-1239852,59,16068822-e2fc-4349-a57c-39f9243b9079,2021-10-12T22:00:00.000Z,createdBy.qkoc@example.com,2005-11-25T22:00:00.000Z,modifiedBy.qkoc@example.net
1239853f-1884-4e57-a257-77493ccd3522,name-1239853,84,16068822-e2fc-4349-a57c-39f9243b9079,2019-03-21T22:00:00.000Z,createdBy.qkod@example.org,2023-10-04T22:00:00.000Z,modifiedBy.qkod@example.org
12398548-ba3b-45a2-8846-de2be487bb6d,name-1239854,99,16068822-e2fc-4349-a57c-39f9243b9079,2003-02-28T22:00:00.000Z,createdBy.qkoe@example.com,2008-03-07T22:00:00.000Z,modifiedBy.qkoe@example.org
1239855e-e959-48c7-b0de-fe3591d22bb1,name-1239855,7,16068822-e2fc-4349-a57c-39f9243b9079,2015-10-04T22:00:00.000Z,createdBy.qkof@example.net,2012-04-13T22:00:00.000Z,modifiedBy.qkof@example.com
1239856b-6b35-46fe-8d28-7933b506607d,name-1239856,70,16068822-e2fc-4349-a57c-39f9243b9079,2009-12-17T22:00:00.000Z,createdBy.qkog@example.com,2011-09-17T22:00:00.000Z,modifiedBy.qkog@example.com
12398577-ee1b-4498-bfd1-72bb87de4c99,name-1239857,91,16068822-e2fc-4349-a57c-39f9243b9079,2007-04-09T22:00:00.000Z,createdBy.qkoh@example.org,2022-07-08T22:00:00.000Z,modifiedBy.qkoh@example.org
12398584-5bac-47eb-9322-fdea23e6b0fc,name-1239858,65,16068822-e2fc-4349-a57c-39f9243b9079,2009-03-06T22:00:00.000Z,createdBy.qkoi@example.net,2018-06-05T22:00:00.000Z,modifiedBy.qkoi@example.net
12398591-76f6-4ecd-a011-4157cb2990e7,name-1239859,18,16068822-e2fc-4349-a57c-39f9243b9079,2001-05-11T22:00:00.000Z,createdBy.qkoj@example.net,2006-09-05T22:00:00.000Z,modifiedBy.qkoj@example.org
12398600-79ee-4853-8e0d-59f82d3bd22e,name-1239860,87,16068822-e2fc-4349-a57c-39f9243b9079,2020-10-08T22:00:00.000Z,createdBy.qkok@example.com,2007-05-17T22:00:00.000Z,modifiedBy.qkok@example.com
